"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Test fetching person details with valid data.

        Validates that the response contains expected fields and matches the
        defined JSON schema for person details.

        :param person_details: Dictionary containing test parameters for a valid case.
        ","107","Get details for person ID: 5","tests.people","Mon Apr 06 17:30:35 UTC 2026","passed","Mon Apr 06 17:30:35 UTC 2026","TestDetails","test_details","",""
"","108","Update Description for invalid list ID 9999999999","tests.lists","Mon Apr 06 17:30:33 UTC 2026","passed","Mon Apr 06 17:30:34 UTC 2026","TestUpdate","test_update","",""
"
        Test error handling for invalid movie IDs.

        Validates proper error responses when requesting non-existent
        or invalid movie IDs, ensuring appropriate status codes and
        error messages are returned.

        :param get_api_instance: Generic class fixture instance.
        :param load_schema: Schema loader fixture from conftest.py.
        :param movie_details: Parametrized test data containing valid movie_id,
                             expected status_code, and expected_message.
        ","108","Get movie details for ID: 10598","tests.movies","Mon Apr 06 17:30:35 UTC 2026","passed","Mon Apr 06 17:30:35 UTC 2026","TestDetails","test_details","",""
"
        Test adding a movie rating without authentication.

        Validates that attempting to add a rating without proper
        authentication returns the expected error response.

        :param get_api_instance: Generic fixture instance.
        :param load_schema: Schema loader fixture from conftest.py.
        :param add_valid_rating: Parametrized test data containing valid movie_id,
                                   expected status_code, and expected_message.
        ","1002","Add rating 0.5 for movie ID: 38810","tests.movies","Mon Apr 06 17:30:27 UTC 2026","passed","Mon Apr 06 17:30:28 UTC 2026","TestAddRating","test_add_rating","",""
"
        Test error handling for invalid movie IDs.

        Validates proper error responses when requesting non-existent
        or invalid movie IDs, ensuring appropriate status codes and
        error messages are returned.

        :param get_api_instance: Generic fixture instance.
        :param load_schema: Schema loader fixture from conftest.py.
        :param invalid_test: Parametrized test data containing invalid movie_id,
                             expected status_code, and expected_message.
        ","109","Invalid movie ID: 0","tests.movies","Mon Apr 06 17:30:35 UTC 2026","passed","Mon Apr 06 17:30:35 UTC 2026","TestDetails","test_details","",""
"
        Test error handling for invalid movie IDs.

        Validates proper error responses when requesting non-existent
        or invalid movie IDs, ensuring appropriate status codes and
        error messages are returned.

        :param get_api_instance: Generic class fixture instance.
        :param load_schema: Schema loader fixture from conftest.py.
        :param movie_details: Parametrized test data containing valid movie_id,
                             expected status_code, and expected_message.
        ","104","Get movie details for ID: 16878","tests.movies","Mon Apr 06 17:30:35 UTC 2026","passed","Mon Apr 06 17:30:35 UTC 2026","TestDetails","test_details","",""
"
        Test deleting a movie rating with invalid movie ID in the first iteration and without session ID authentication.

        Validates that attempting to delete a rating without proper
        authentication returns the expected error response.

        :param get_api_instance: Generic fixture instance.
        :param load_schema: Schema loader fixture from conftest.py.
        :param delete_invalid_rating: Parametrized test data containing invalid movie_id,
                                      expected status_code, and expected_message.
        ","106","Delete movie rating for ID: 0","tests.movies","Mon Apr 06 17:30:34 UTC 2026","passed","Mon Apr 06 17:30:35 UTC 2026","TestDeleteRating","test_delete_rating","",""
"Verify 404 error response structure for non-existent movie ID 99999999. Using matchers to allow flexible type-based matching.","4","Get Invalid Movie Details","tests.contracts","Mon Apr 06 17:30:23 UTC 2026","passed","Mon Apr 06 17:30:23 UTC 2026","TestMovieDetails","test_movie_details","",""
"
        Test adding a movie rating without authentication.

        Validates that attempting to add a rating without proper
        authentication returns the expected error response.

        :param get_api_instance: Generic fixture instance.
        :param add_invalid_rating: Parametrized test data containing invalid movie_id,
                                   expected status_code, and expected_message.
        ","103","Add rating 16.2 for movie ID: 550","tests.movies","Mon Apr 06 17:30:34 UTC 2026","passed","Mon Apr 06 17:30:34 UTC 2026","TestAddRating","test_add_rating","",""
"
        Test retrieving popular movies with invalid parameters.

        Validates that appropriate error responses are returned when
        invalid query parameters are provided for the popular movies endpoint.

        :param get_api_instance: Generic fixture instance.
        :param load_schema: Schema loader fixture from conftest.py.
        :param invalid_test: Parametrized test data containing invalid query_param,
                             expected status_code, and expected_message.
        ","106","Get invalid popular movies with query params: {'page': -1}","tests.movie_lists","Mon Apr 06 17:30:34 UTC 2026","passed","Mon Apr 06 17:30:34 UTC 2026","TestMoviesAPI","test_popular","",""
